"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02028V02456","Principle Economic Status","UNIT","VALUE"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q4","2007Q4","1","At work","%","4.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q4","2007Q4","2","Unemployed","%","2.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q4","2007Q4","3","Student","%","96"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q4","2007Q4","4","Engaged on home duties","%","1.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q4","2007Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q4","2007Q4","6","Unable to work due to permanent sickness/disability","%","2.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2007Q4","2007Q4","7","Other","%","8.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q1","2008Q1","1","At work","%","3.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q1","2008Q1","2","Unemployed","%","2.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q1","2008Q1","3","Student","%","95.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q1","2008Q1","4","Engaged on home duties","%","1.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q1","2008Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q1","2008Q1","6","Unable to work due to permanent sickness/disability","%","2.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q1","2008Q1","7","Other","%","8.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q2","2008Q2","1","At work","%","3.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q2","2008Q2","2","Unemployed","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q2","2008Q2","3","Student","%","93.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q2","2008Q2","4","Engaged on home duties","%","1.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q2","2008Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q2","2008Q2","6","Unable to work due to permanent sickness/disability","%","1.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q2","2008Q2","7","Other","%","8.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q3","2008Q3","1","At work","%","3.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q3","2008Q3","2","Unemployed","%","2.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q3","2008Q3","3","Student","%","79.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q3","2008Q3","4","Engaged on home duties","%","0.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q3","2008Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q3","2008Q3","6","Unable to work due to permanent sickness/disability","%","1.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q3","2008Q3","7","Other","%","7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q4","2008Q4","1","At work","%","4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q4","2008Q4","2","Unemployed","%","2.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q4","2008Q4","3","Student","%","96.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q4","2008Q4","4","Engaged on home duties","%","1.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q4","2008Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q4","2008Q4","6","Unable to work due to permanent sickness/disability","%","2.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2008Q4","2008Q4","7","Other","%","8.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q1","2009Q1","1","At work","%","3.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q1","2009Q1","2","Unemployed","%","3.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q1","2009Q1","3","Student","%","95.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q1","2009Q1","4","Engaged on home duties","%","1.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q1","2009Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q1","2009Q1","6","Unable to work due to permanent sickness/disability","%","2.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q1","2009Q1","7","Other","%","8.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q2","2009Q2","1","At work","%","4.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q2","2009Q2","2","Unemployed","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q2","2009Q2","3","Student","%","93.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q2","2009Q2","4","Engaged on home duties","%","1.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q2","2009Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q2","2009Q2","6","Unable to work due to permanent sickness/disability","%","2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q2","2009Q2","7","Other","%","8.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q3","2009Q3","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q3","2009Q3","2","Unemployed","%","3.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q3","2009Q3","3","Student","%","88.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q3","2009Q3","4","Engaged on home duties","%","1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q3","2009Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q3","2009Q3","6","Unable to work due to permanent sickness/disability","%","2.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q3","2009Q3","7","Other","%","8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q4","2009Q4","1","At work","%","3.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q4","2009Q4","2","Unemployed","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q4","2009Q4","3","Student","%","95.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q4","2009Q4","4","Engaged on home duties","%","1.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q4","2009Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q4","2009Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2009Q4","2009Q4","7","Other","%","8.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q1","2010Q1","1","At work","%","3.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q1","2010Q1","2","Unemployed","%","3.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q1","2010Q1","3","Student","%","95.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q1","2010Q1","4","Engaged on home duties","%","1.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q1","2010Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q1","2010Q1","6","Unable to work due to permanent sickness/disability","%","2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q1","2010Q1","7","Other","%","9.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q2","2010Q2","1","At work","%","3.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q2","2010Q2","2","Unemployed","%","4.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q2","2010Q2","3","Student","%","92.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q2","2010Q2","4","Engaged on home duties","%","1.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q2","2010Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q2","2010Q2","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q2","2010Q2","7","Other","%","8.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q3","2010Q3","1","At work","%","2.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q3","2010Q3","2","Unemployed","%","3.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q3","2010Q3","3","Student","%","89.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q3","2010Q3","4","Engaged on home duties","%","0.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q3","2010Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q3","2010Q3","6","Unable to work due to permanent sickness/disability","%","1.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q3","2010Q3","7","Other","%","8.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q4","2010Q4","1","At work","%","3.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q4","2010Q4","2","Unemployed","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q4","2010Q4","3","Student","%","95.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q4","2010Q4","4","Engaged on home duties","%","1.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q4","2010Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q4","2010Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2010Q4","2010Q4","7","Other","%","9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q1","2011Q1","1","At work","%","3.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q1","2011Q1","2","Unemployed","%","3.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q1","2011Q1","3","Student","%","95.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q1","2011Q1","4","Engaged on home duties","%","1.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q1","2011Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q1","2011Q1","6","Unable to work due to permanent sickness/disability","%","2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q1","2011Q1","7","Other","%","9.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q2","2011Q2","1","At work","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q2","2011Q2","2","Unemployed","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q2","2011Q2","3","Student","%","91.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q2","2011Q2","4","Engaged on home duties","%","1.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q2","2011Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q2","2011Q2","6","Unable to work due to permanent sickness/disability","%","2.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q2","2011Q2","7","Other","%","8.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q3","2011Q3","1","At work","%","3.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q3","2011Q3","2","Unemployed","%","2.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q3","2011Q3","3","Student","%","90.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q3","2011Q3","4","Engaged on home duties","%","1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q3","2011Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q3","2011Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q3","2011Q3","7","Other","%","8.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q4","2011Q4","1","At work","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q4","2011Q4","2","Unemployed","%","3.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q4","2011Q4","3","Student","%","95.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q4","2011Q4","4","Engaged on home duties","%","1.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q4","2011Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q4","2011Q4","6","Unable to work due to permanent sickness/disability","%","2.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2011Q4","2011Q4","7","Other","%","9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q1","2012Q1","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q1","2012Q1","2","Unemployed","%","3.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q1","2012Q1","3","Student","%","95.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q1","2012Q1","4","Engaged on home duties","%","1.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q1","2012Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q1","2012Q1","6","Unable to work due to permanent sickness/disability","%","2.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q1","2012Q1","7","Other","%","9.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q2","2012Q2","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q2","2012Q2","2","Unemployed","%","4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q2","2012Q2","3","Student","%","92.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q2","2012Q2","4","Engaged on home duties","%","1.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q2","2012Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q2","2012Q2","6","Unable to work due to permanent sickness/disability","%","2.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q2","2012Q2","7","Other","%","9.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q3","2012Q3","1","At work","%","2.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q3","2012Q3","2","Unemployed","%","2.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q3","2012Q3","3","Student","%","84.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q3","2012Q3","4","Engaged on home duties","%","1.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q3","2012Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q3","2012Q3","6","Unable to work due to permanent sickness/disability","%","1.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q3","2012Q3","7","Other","%","8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q4","2012Q4","1","At work","%","3.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q4","2012Q4","2","Unemployed","%","3.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q4","2012Q4","3","Student","%","92.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q4","2012Q4","4","Engaged on home duties","%","2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q4","2012Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q4","2012Q4","6","Unable to work due to permanent sickness/disability","%","2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2012Q4","2012Q4","7","Other","%","9.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q1","2013Q1","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q1","2013Q1","2","Unemployed","%","2.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q1","2013Q1","3","Student","%","91.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q1","2013Q1","4","Engaged on home duties","%","1.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q1","2013Q1","5","Retired from employment","%","1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q1","2013Q1","6","Unable to work due to permanent sickness/disability","%","1.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q1","2013Q1","7","Other","%","9.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q2","2013Q2","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q2","2013Q2","2","Unemployed","%","4.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q2","2013Q2","3","Student","%","91.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q2","2013Q2","4","Engaged on home duties","%","1.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q2","2013Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q2","2013Q2","6","Unable to work due to permanent sickness/disability","%","2.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q2","2013Q2","7","Other","%","9.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q3","2013Q3","1","At work","%","3.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q3","2013Q3","2","Unemployed","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q3","2013Q3","3","Student","%","84.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q3","2013Q3","4","Engaged on home duties","%","1.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q3","2013Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q3","2013Q3","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q3","2013Q3","7","Other","%","8.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q4","2013Q4","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q4","2013Q4","2","Unemployed","%","4.2"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q4","2013Q4","3","Student","%","92.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q4","2013Q4","4","Engaged on home duties","%","1.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q4","2013Q4","5","Retired from employment","%","1.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q4","2013Q4","6","Unable to work due to permanent sickness/disability","%","2.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2013Q4","2013Q4","7","Other","%","9.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q1","2014Q1","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q1","2014Q1","2","Unemployed","%","4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q1","2014Q1","3","Student","%","93.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q1","2014Q1","4","Engaged on home duties","%","1.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q1","2014Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q1","2014Q1","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q1","2014Q1","7","Other","%","10"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q2","2014Q2","1","At work","%","3.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q2","2014Q2","2","Unemployed","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q2","2014Q2","3","Student","%","91.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q2","2014Q2","4","Engaged on home duties","%","1.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q2","2014Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q2","2014Q2","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q2","2014Q2","7","Other","%","9.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q3","2014Q3","1","At work","%","3.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q3","2014Q3","2","Unemployed","%","3.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q3","2014Q3","3","Student","%","84.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q3","2014Q3","4","Engaged on home duties","%","0.9"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q3","2014Q3","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q3","2014Q3","6","Unable to work due to permanent sickness/disability","%","1.8"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q3","2014Q3","7","Other","%","8.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q4","2014Q4","1","At work","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q4","2014Q4","2","Unemployed","%","4.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q4","2014Q4","3","Student","%","91.6"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q4","2014Q4","4","Engaged on home duties","%","1.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q4","2014Q4","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q4","2014Q4","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2014Q4","2014Q4","7","Other","%","9.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q1","2015Q1","1","At work","%","3.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q1","2015Q1","2","Unemployed","%","3.7"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q1","2015Q1","3","Student","%","92.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q1","2015Q1","4","Engaged on home duties","%","1.5"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q1","2015Q1","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q1","2015Q1","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q1","2015Q1","7","Other","%","9.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q2","2015Q2","1","At work","%","3.4"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q2","2015Q2","2","Unemployed","%","4.1"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q2","2015Q2","3","Student","%","89.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q2","2015Q2","4","Engaged on home duties","%","1.3"
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q2","2015Q2","5","Retired from employment","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q2","2015Q2","6","Unable to work due to permanent sickness/disability","%",""
"QLF41C01","Persons aged 18 - 74 years engaged in life-long learning","2015Q2","2015Q2","7","Other","%","9.2"
