id,genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
332,82,174,111,1,17,4,2,64
333,82,175,81,2,0,1,3,87
334,82,179,95,1,15,1,3,70
335,82,163,100,2,18,4,3,66
336,82,174,98,2,2,8,3,83
337,82,196,72,1,0,5,3,82
338,82,162,84,2,19,4,3,73
339,82,212,92,1,12,1,5,72
340,82,194,85,1,14,9,1,74
341,82,190,83,2,17,1,4,77
342,82,161,96,2,13,7,2,68
343,82,180,63,3,14,3,3,88
344,82,190,71,1,0,0,3,85
345,82,167,71,2,16,7,3,67
346,82,171,85,2,4,6,3,76
347,82,182,68,3,7,8,2,92
348,82,184,80,1,15,7,4,62
349,82,165,80,2,3,9,2,79
350,82,188,81,2,4,1,2,90
351,82,169,86,2,14,3,3,76
352,82,179,72,1,7,9,2,71
353,82,193,112,2,4,7,2,84
354,82,184,71,0,9,6,2,69
355,82,182,65,1,13,5,1,74
356,82,181,70,1,3,8,3,78
357,82,168,97,1,14,5,1,68
358,82,170,108,1,4,5,2,74
359,82,193,83,2,0,8,3,81
360,82,196,76,2,3,9,2,88
361,82,176,68,1,19,7,1,70
362,82,175,63,0,18,4,2,65
363,82,182,83,2,22,5,3,73
364,82,179,90,1,17,2,2,68
365,82,189,75,2,7,5,3,84
366,82,186,66,2,17,0,2,80
367,82,183,72,2,22,9,5,69
368,82,179,63,2,11,6,1,86
369,82,178,80,0,16,3,2,62
370,82,180,65,2,17,5,3,79
371,82,163,73,3,15,6,2,90
372,82,199,89,2,11,9,2,77
373,82,174,64,2,19,0,3,83
374,82,178,97,3,20,6,1,87
375,82,207,90,2,8,7,1,92
376,82,198,95,1,8,8,3,71
377,82,189,88,1,2,1,3,79
378,82,173,99,3,9,9,2,83
379,82,190,91,1,0,3,2,83
380,82,179,93,2,9,9,3,76
381,82,207,90,2,0,1,2,99
382,82,185,76,2,3,8,3,77
383,82,196,78,0,15,7,2,63
384,82,174,74,2,13,5,3,81
385,82,192,75,1,12,6,3,70
386,82,176,67,1,19,6,3,59
387,82,175,109,0,16,8,2,51
388,82,202,70,1,22,1,3,70
389,82,172,74,1,18,8,3,63
390,82,210,86,3,4,6,2,97
391,82,188,79,1,9,9,1,73
392,82,187,70,1,0,5,1,85
393,82,161,72,2,10,5,3,74
394,82,197,76,2,11,1,2,86
395,82,167,80,1,11,9,1,69
396,82,194,76,2,19,9,1,78
397,82,183,101,3,0,9,3,94
398,82,182,81,1,22,2,2,64
399,82,179,90,1,1,5,1,82
400,82,179,79,1,20,0,1,74
401,82,173,67,1,0,8,3,79
402,82,178,72,3,8,7,3,90
403,82,170,75,1,4,1,3,81
404,82,176,63,1,14,9,4,61
405,82,176,65,1,17,3,3,67
406,82,180,73,1,18,2,3,71
407,82,196,94,2,3,6,4,76
408,82,187,92,1,22,8,2,61
409,82,186,96,2,14,9,2,70
410,82,161,78,3,16,3,2,87
411,82,176,79,2,0,6,3,87
412,82,202,87,1,16,8,2,70
413,82,179,60,3,7,2,1,101
414,82,201,91,2,21,4,3,74
415,82,198,71,3,17,7,1,88
416,82,180,74,3,10,8,4,87
417,82,168,68,2,0,4,3,93
418,82,180,89,2,3,4,2,91
419,82,161,90,2,13,6,3,71
420,82,189,62,1,19,4,2,70
421,82,199,80,1,17,6,3,68
422,82,201,100,1,21,9,5,56
423,82,196,92,1,11,7,1,72
424,82,185,66,3,9,1,1,100
425,82,192,63,0,4,6,2,76
426,82,177,100,2,11,1,1,82
427,82,173,66,2,17,4,2,83
428,82,184,78,1,0,9,4,78
429,82,173,94,2,16,8,2,66
430,82,208,93,1,4,4,1,87
431,82,213,89,1,2,3,2,87
432,82,201,82,1,3,4,3,79
433,82,190,84,2,0,6,3,84
434,82,184,82,4,21,0,2,94
435,82,190,111,2,4,8,2,76
436,82,174,83,2,6,2,2,84
437,82,172,73,1,9,7,2,71
438,82,191,80,2,11,6,4,80
439,82,205,74,2,19,9,3,71
440,82,177,86,1,14,6,3,69
441,82,197,91,3,19,5,5,76
442,82,186,101,3,21,5,2,82
443,82,173,65,4,4,7,2,106
444,82,199,64,1,5,5,2,83
445,82,194,64,1,5,3,3,86
446,82,169,61,3,13,7,2,90
447,82,204,71,2,0,2,3,94
448,82,182,75,1,1,5,3,78
449,82,173,77,1,12,10,4,62
450,82,187,103,2,2,7,2,81
451,82,175,100,1,0,8,1,73
452,82,184,76,3,2,3,4,92
453,82,197,80,1,19,5,2,71
454,82,161,85,1,20,6,2,59
455,82,180,98,2,1,6,3,82
456,82,181,87,4,20,7,1,91
457,82,190,83,1,20,10,4,59
458,82,179,69,3,18,0,3,87
459,82,204,70,1,10,9,2,80
460,82,170,71,3,19,7,4,76
461,82,182,78,3,3,3,2,96
462,82,179,83,1,13,6,2,64
463,82,201,71,1,13,8,2,75
464,82,189,73,0,4,9,2,69
465,82,193,74,1,17,6,2,71
466,82,192,109,1,4,8,2,76
467,82,190,96,1,4,4,2,81
468,82,180,69,2,16,3,2,77
469,82,172,70,2,0,7,3,85
470,82,180,98,1,6,6,2,75
471,82,203,64,2,21,7,3,72
472,82,188,104,1,14,9,2,64
473,82,207,78,2,0,4,1,101
474,82,188,93,1,2,7,3,70
475,82,163,77,1,13,0,2,78
476,82,196,68,1,18,7,4,64
477,82,179,70,1,15,9,1,69
478,82,187,67,1,1,6,3,83
479,82,176,80,3,21,8,4,76
480,82,181,77,2,20,9,1,73
481,82,180,80,1,5,8,3,73
482,82,175,87,1,3,9,2,77
483,82,180,73,1,3,3,1,83
484,82,199,95,1,17,1,1,78
485,82,179,87,2,5,1,2,89
486,82,193,81,3,18,9,2,84
487,82,202,74,2,20,1,2,87
488,82,199,76,1,9,1,4,78
489,82,184,83,2,20,8,3,74
490,82,154,95,1,5,6,4,62
491,82,176,65,3,8,8,2,96
492,82,193,93,3,14,1,3,89
493,82,189,88,1,13,7,4,68
494,82,164,64,1,13,7,2,70
495,82,180,63,1,1,9,3,76
496,82,183,97,2,9,7,3,80
497,82,173,64,1,5,5,3,76
498,82,198,77,1,8,6,1,76
499,82,185,91,2,0,0,1,103
500,82,186,73,1,22,1,4,64
501,82,173,67,1,0,7,2,85
502,82,196,74,1,11,6,3,73
503,82,172,68,2,18,7,1,83
504,82,196,69,3,1,8,4,94
505,82,173,101,2,6,8,2,78
506,82,213,91,3,2,6,4,94
507,82,172,72,1,0,6,4,76
508,82,208,76,1,0,8,5,80
509,82,164,96,2,18,7,3,67
510,82,174,67,2,20,9,3,73
511,82,174,96,2,8,9,2,81
512,82,165,67,2,20,1,3,74
513,82,182,73,2,2,10,3,83
514,82,164,77,2,8,7,3,73
515,82,194,96,2,1,3,2,86
516,82,175,66,3,18,2,2,92
517,82,190,93,1,12,6,4,64
518,82,181,91,1,16,9,3,61
519,82,160,98,3,18,6,2,75
520,82,188,89,2,20,8,4,60
521,82,206,68,0,1,0,4,76
522,82,184,93,1,14,9,3,63
523,82,171,62,2,0,5,4,91
524,82,192,72,2,4,9,2,87
525,82,208,89,1,0,2,1,88
526,82,158,83,1,4,6,5,63
527,82,186,63,2,8,4,3,82
528,82,188,92,1,12,9,2,68
529,82,183,82,2,1,5,3,87
530,82,183,83,0,3,3,1,78
531,82,192,86,1,0,5,3,82
532,82,194,88,1,19,4,2,67
533,82,189,83,2,1,0,3,91
534,82,168,61,0,16,0,3,62
535,82,194,73,2,22,4,3,72
536,82,193,100,2,0,8,3,88
537,82,208,92,2,8,4,1,86
538,82,183,85,3,12,6,1,91
539,82,180,66,2,15,6,2,81
540,82,184,92,1,21,7,3,62
541,82,196,63,1,20,5,1,70
542,82,187,93,1,19,4,2,64
543,82,188,92,3,18,3,3,81
544,82,184,85,1,9,9,3,69
545,82,207,86,1,9,8,4,72
546,82,185,107,0,8,9,4,54
547,82,175,83,1,4,3,1,78
548,82,191,79,1,19,8,3,63
549,82,168,93,2,6,6,2,83
550,82,170,68,1,6,3,4,68
551,82,188,72,2,0,4,4,92
552,82,180,65,0,0,8,4,69
553,82,181,94,1,2,7,1,80
554,82,188,87,3,21,0,3,82
555,82,168,86,2,14,1,4,73
556,82,189,84,3,16,8,3,84
557,82,173,70,1,16,2,2,69
558,82,163,87,2,2,7,3,75
559,82,194,69,2,7,7,3,90
560,82,172,97,2,7,7,2,77
561,82,175,95,1,3,6,3,73
562,82,189,70,1,21,6,3,68
563,82,179,71,2,10,7,1,87
564,82,177,91,1,21,8,3,60
565,82,189,84,3,9,8,1,94
566,82,184,61,1,19,9,2,70
567,82,170,84,1,8,9,4,62
568,82,168,70,2,19,3,2,80
569,82,181,80,2,9,7,2,86
570,82,177,95,2,2,4,2,83
571,82,186,84,1,22,4,3,66
572,82,185,79,2,9,6,2,84
573,82,164,65,1,3,3,2,76
574,82,193,74,1,21,4,3,63
575,82,172,62,2,9,8,1,85
576,82,167,94,1,2,8,2,71
577,82,160,75,1,18,8,2,64
578,82,172,83,1,9,6,3,68
579,82,183,80,1,1,6,1,81
580,82,192,68,1,11,5,2,81
581,82,177,78,2,8,1,3,81
582,82,183,77,3,0,1,2,101
583,82,163,80,2,12,3,3,77
584,82,174,87,2,18,8,2,67
585,82,174,90,1,13,9,2,60
586,82,189,91,1,20,4,3,66
587,82,157,79,1,16,8,3,57
588,82,180,65,1,4,4,4,72
589,82,173,73,1,9,1,1,82
590,82,168,70,3,0,5,4,93
591,82,167,67,2,0,8,1,87
592,82,186,71,3,3,2,2,106
593,82,193,76,2,15,9,1,83
594,82,201,82,3,13,8,4,81
595,82,176,82,1,7,7,3,71
596,82,175,71,1,7,2,2,80
597,82,199,83,1,2,8,3,76
598,82,188,64,1,10,8,3,73
599,82,195,100,2,4,9,3,76
600,82,192,97,1,18,6,1,67
601,82,168,94,1,14,3,2,62
602,82,172,62,1,1,7,1,83
603,82,208,94,1,10,6,3,70
604,82,163,70,3,4,6,3,93
605,82,180,70,1,17,6,3,63
606,82,185,91,1,1,7,2,81
607,82,182,71,0,9,8,3,64
608,82,192,78,3,15,10,2,91
609,82,184,93,4,16,8,2,91
610,82,186,68,2,0,3,2,99
611,82,170,67,1,12,2,2,77
612,82,189,70,1,0,6,2,82
613,82,164,69,1,12,5,1,75
614,82,188,93,1,12,4,2,67
615,82,180,69,0,9,3,1,73
616,82,178,87,1,19,4,2,67
617,82,182,60,3,5,6,1,100
618,82,194,81,2,0,10,2,94
619,82,185,101,2,7,9,3,81
620,82,186,91,2,15,5,3,76
621,82,168,90,3,21,7,4,69
622,82,193,78,3,8,5,2,92
623,82,173,66,2,1,7,2,88
624,82,155,75,1,18,5,3,62
625,82,174,84,1,6,1,3,72
626,82,162,63,1,20,9,1,64
627,82,193,87,1,10,2,3,79
628,82,162,77,2,19,3,4,75
629,82,186,87,1,12,7,3,65
630,82,183,64,2,2,9,4,79
631,82,197,86,2,22,2,4,76
632,82,193,82,1,0,9,2,80
633,82,187,80,0,8,7,2,68
634,82,167,96,1,1,5,3,73
635,82,189,75,2,4,3,1,88
636,82,193,74,1,12,8,2,71
637,82,197,85,1,18,4,4,62
638,82,177,73,2,13,8,1,84
639,82,183,73,3,0,6,2,98
640,82,160,71,2,16,5,3,77
641,82,189,74,1,1,0,2,86
642,82,169,83,1,17,6,1,66
643,82,198,91,3,14,7,2,88
644,82,180,86,1,21,2,2,65
645,82,174,71,1,7,8,2,75
646,82,185,67,1,1,1,3,88
647,82,185,65,1,12,5,4,69
648,82,179,95,3,15,7,4,82
649,82,167,64,2,9,6,1,86
650,82,180,79,3,9,8,2,91
651,82,185,95,1,14,5,4,60
652,82,185,89,1,20,9,2,59
653,82,171,92,1,6,5,1,75
654,82,196,75,1,13,0,2,81
655,82,163,76,1,14,8,2,63
656,82,176,82,2,6,9,1,87
657,82,199,66,1,17,6,2,67
658,82,185,89,2,10,0,3,85
659,82,183,85,1,0,9,2,75
660,82,175,78,1,6,4,2,77
661,82,177,69,2,0,9,2,91
662,82,186,89,0,3,1,2,76
663,82,173,70,1,0,8,4,78
664,82,211,63,1,1,8,2,83
665,82,171,73,2,4,9,4,76
666,82,189,95,1,14,7,1,74
667,82,197,81,2,17,9,4,67
668,82,172,98,1,10,7,4,59
669,82,163,71,2,21,5,3,75
670,82,177,77,1,16,8,2,65
671,82,176,103,0,21,3,1,54
672,82,171,75,2,14,8,3,77
673,82,203,73,1,1,1,3,83
674,82,190,61,2,12,10,4,75
675,82,170,71,2,10,1,2,87
676,82,193,64,0,10,6,2,72
677,82,189,74,1,0,3,1,86
678,82,178,96,1,10,6,3,68
679,82,170,74,2,5,7,2,83
680,82,200,65,3,2,5,4,96
681,82,169,97,3,17,7,3,76
682,82,200,86,1,6,6,1,83
683,82,200,94,1,13,9,2,69
684,82,171,77,2,20,6,2,80
685,82,188,84,3,12,8,4,81
686,82,183,69,1,1,8,5,69
687,82,181,67,3,10,0,2,101
688,82,178,78,3,3,8,4,85
689,82,180,106,2,13,3,4,72
690,82,182,73,2,8,6,3,80
691,82,156,73,1,0,8,4,69
692,81,175,91,1,0,3,2,82
693,81,181,78,3,1,5,2,101
694,81,186,86,1,5,6,3,72
695,81,197,94,1,3,5,3,79
696,81,181,66,0,22,6,2,57
697,81,182,62,2,8,6,2,89
698,81,159,90,2,22,3,3,62
699,81,199,70,2,11,4,2,93
700,81,196,67,2,20,1,2,78
701,81,188,71,2,2,10,4,84
702,81,195,86,1,20,6,2,64
703,81,191,99,0,17,5,4,51
704,81,171,76,0,8,9,3,59
705,81,201,60,3,9,6,1,96
706,81,203,82,1,2,7,1,81
707,81,186,68,2,1,5,3,89
708,81,200,64,3,15,2,3,92
709,81,194,72,2,12,7,4,72
710,81,200,66,1,15,8,3,63
711,81,202,70,1,13,9,2,70
712,81,196,70,1,8,6,2,81
713,81,189,97,2,1,6,4,83
714,81,207,95,0,13,9,2,61
715,81,190,79,0,7,2,2,75
716,81,156,97,2,13,10,3,69
717,81,184,70,1,22,5,4,60
718,81,186,88,1,4,8,3,69
719,81,196,76,2,15,6,3,71
720,81,176,84,2,13,9,2,76
721,81,177,98,1,4,5,3,69
722,81,184,80,3,2,5,3,92
723,81,182,86,1,15,4,1,69
724,81,180,70,2,8,5,2,84
725,81,166,80,2,19,3,3,69
726,81,178,74,0,9,2,2,69
727,81,200,108,3,16,6,2,91
728,81,194,106,2,10,7,3,71
729,81,187,84,2,11,8,3,71
730,81,196,69,1,9,9,1,76
731,81,165,72,1,0,8,3,71
732,81,190,63,1,18,8,2,69
733,81,182,76,0,13,3,2,65
734,81,194,61,2,0,6,2,98
735,81,162,74,2,15,8,3,71
736,81,195,96,3,6,8,2,98
737,81,186,71,2,13,5,2,78
738,81,199,104,1,7,2,2,76
739,81,188,100,2,10,7,2,73
740,81,166,61,2,18,8,3,73
741,81,183,75,3,22,6,2,83
742,81,182,70,2,11,9,1,81
743,81,197,100,1,20,4,3,55
744,81,193,68,1,18,4,2,74
745,81,160,92,1,14,7,3,62
746,81,207,74,1,15,0,1,79
747,81,208,100,2,19,7,2,72
748,81,185,72,1,15,8,1,75
749,81,190,76,1,15,8,2,69
750,81,162,77,2,2,9,2,80
751,81,199,80,1,1,2,3,79
752,81,172,99,2,17,6,3,66
753,81,185,62,3,4,5,3,96
754,81,165,72,1,14,1,2,72
755,81,173,76,1,19,7,2,57
756,81,184,79,2,12,4,2,83
757,81,162,71,2,1,9,4,81
758,81,205,77,2,0,6,1,91
759,81,196,63,1,18,8,2,65
760,81,178,112,1,5,4,5,68
761,81,173,69,2,10,5,2,81
762,81,180,66,1,14,8,3,66
763,81,172,88,1,16,0,3,64
764,81,171,73,3,10,8,1,88
765,81,186,63,1,6,7,2,83
766,81,205,63,1,5,3,2,85
767,81,183,109,2,17,4,4,67
768,81,191,63,1,3,5,3,78
769,81,207,78,2,1,8,2,90
770,81,177,81,1,18,3,2,69
771,81,195,78,1,10,0,1,84
772,81,178,75,3,4,8,4,86
773,81,182,65,2,14,0,1,90
774,81,183,67,1,4,0,2,82
